Class;Keep;MapTo;ExtraVariant
IfcBeam;1;;
IfcBuildingElement;0;;
IfcBuildingElementProxy;1;;
IfcBuildingStorey;1;;synonym
IfcColumn;1;;
IfcCovering;1;;
IfcCurtainWall;1;;
IfcDoor;1;;
IfcElement;0;;
IfcFooting;1;;
IfcMaterial;0;;
IfcMember;0;;
IfcObject;0;;
IfcPhysicalQuantity;0;;
IfcPile;1;;
IfcPlate;1;;
IfcProperty;0;;
IfcRailing;1;;
IfcRamp;1;;
IfcRampFlight;1;;
IfcRoof;1;;
IfcSlab;1;;
IfcSpace;1;;
IfcSpatialStructureElement;0;;
IfcStair;1;;
IfcStairFlight;1;;
IfcWall;1;;
IfcWallStandardCase;1;IfcWall;
IfcWindow;1;;
